?x	?p	?y
<https://w3id.org/pmd/co/PMD_0200006>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000907>
<https://w3id.org/pmd/co/PMD_0090053>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050032>
<https://w3id.org/pmd/co/PMD_0050043>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050040>
<http://purl.obolibrary.org/obo/IAO_0000030>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000031>
<https://w3id.org/pmd/co/PMD_0000012>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/IAO_0000104>
<http://purl.obolibrary.org/obo/CHEBI_30217>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_23367>
<https://w3id.org/pmd/co/PMD_0000508>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0000504>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000933>
<https://w3id.org/pmd/co/PMD_0000556>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000957>
<https://w3id.org/pmd/co/PMD_0090015>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000127>
<https://w3id.org/pmd/co/PMD_0000810>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000806>
<https://w3id.org/pmd/co/PMD_0050008>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050005>
<https://w3id.org/pmd/co/PMD_0000603>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000023>
<https://w3id.org/pmd/co/PMD_0000525>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000855>
<https://w3id.org/pmd/co/PMD_0050125>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050126>
<https://w3id.org/pmd/co/PMD_0020088>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0020207>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020103>
<https://w3id.org/pmd/co/PMD_0020154>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020136>
<https://w3id.org/pmd/co/PMD_0000878>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0000070>
<https://w3id.org/pmd/co/PMD_0000833>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/COB_0000035>
<https://w3id.org/pmd/co/PMD_0050033>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050032>
<https://w3id.org/pmd/co/PMD_0010001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000639>
<https://w3id.org/pmd/co/PMD_0001010>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000849>
<https://w3id.org/pmd/co/PMD_0020204>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000029>
<http://purl.obolibrary.org/obo/BFO_0000148>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000008>
<http://purl.obolibrary.org/obo/IAO_0000098>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/IAO_0000033>
<http://purl.obolibrary.org/obo/BFO_0000019>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000020>
<https://w3id.org/pmd/co/PMD_0020075>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0020060>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0020102>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020101>
<https://w3id.org/pmd/co/PMD_0000618>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000949>
<https://w3id.org/pmd/co/PMD_0010027>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0025001>
<https://w3id.org/pmd/co/PMD_0020046>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0000574>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000563>
<http://purl.obolibrary.org/obo/COB_0000035>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/COB_0000082>
<https://w3id.org/pmd/co/PMD_0000517>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020215>
<https://w3id.org/pmd/co/PMD_0000501>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/IAO_0000027>
<http://purl.obolibrary.org/obo/CHEBI_33250>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_24431>
<http://purl.obolibrary.org/obo/CHEBI_33343>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0090017>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0090016>
<https://w3id.org/pmd/co/PMD_0050076>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050075>
<https://w3id.org/pmd/co/PMD_0000854>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0020093>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0000790>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000877>
<https://w3id.org/pmd/co/PMD_0000529>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<http://purl.obolibrary.org/obo/CHEBI_18291>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0010099>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000000>
<https://w3id.org/pmd/co/PMD_0000939>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000812>
<https://w3id.org/pmd/co/PMD_0000910>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000773>
<https://w3id.org/pmd/co/PMD_0000852>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid415
<https://w3id.org/pmd/co/PMD_0010034>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000015>
<https://w3id.org/pmd/co/PMD_0200005>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000907>
<https://w3id.org/pmd/co/PMD_0000782>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000556>
<https://w3id.org/pmd/co/PMD_0000557>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<http://purl.obolibrary.org/obo/CHEBI_33357>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0010112>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000023>
<https://w3id.org/pmd/co/PMD_0000661>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000000>
<http://purl.obolibrary.org/obo/CHEBI_28694>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<http://purl.obolibrary.org/obo/OBI_0000571>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000023>
<https://w3id.org/pmd/co/PMD_0000503>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020243>
<https://w3id.org/pmd/co/PMD_0001013>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000812>
<https://w3id.org/pmd/co/PMD_0020234>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020233>
<https://w3id.org/pmd/co/PMD_0050083>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050082>
<https://w3id.org/pmd/co/PMD_0020140>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_60003>
<http://purl.obolibrary.org/obo/BFO_0000040>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000004>
<https://w3id.org/pmd/co/PMD_0050132>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050050>
<http://purl.obolibrary.org/obo/CHEBI_24433>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_24431>
<https://w3id.org/pmd/co/PMD_0000551>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0025001>
<https://w3id.org/pmd/co/PMD_0000868>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000000>
<https://w3id.org/pmd/co/PMD_0020230>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020229>
<https://w3id.org/pmd/co/PMD_0050101>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000661>
<https://w3id.org/pmd/co/PMD_0000835>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0020236>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020234>
<https://w3id.org/pmd/co/PMD_0000944>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0050114>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050113>
<http://purl.obolibrary.org/obo/CHEBI_33376>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33319>
<https://w3id.org/pmd/co/PMD_0000972>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000005>
<https://w3id.org/pmd/co/PMD_0050025>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050023>
<http://purl.obolibrary.org/obo/CHEBI_33379>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33319>
<https://w3id.org/pmd/co/PMD_0000633>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0000564>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000575>
<https://w3id.org/pmd/co/PMD_0020155>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020142>
<http://purl.obolibrary.org/obo/CHEBI_32999>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33319>
<https://w3id.org/pmd/co/PMD_0050123>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050126>
<https://w3id.org/pmd/co/PMD_0000654>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000000>
<https://w3id.org/pmd/co/PMD_0000977>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000806>
<http://purl.obolibrary.org/obo/CHEBI_26833>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_25585>
<https://w3id.org/pmd/co/PMD_0000967>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020131>
<https://w3id.org/pmd/co/PMD_0020099>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0001930>
<https://w3id.org/pmd/co/PMD_0000608>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0000547>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020136>
<http://purl.obolibrary.org/obo/CHEBI_33394>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<http://purl.obolibrary.org/obo/CHEBI_33301>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0050129>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050133>
<https://w3id.org/pmd/co/PMD_0000919>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000023>
<https://w3id.org/pmd/co/PMD_0000617>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0001003>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000821>
<https://w3id.org/pmd/co/PMD_0000935>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000558>
<https://w3id.org/pmd/co/PMD_0050027>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050026>
<https://w3id.org/pmd/co/PMD_0050018>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050016>
<https://w3id.org/pmd/co/PMD_0000903>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000899>
<https://w3id.org/pmd/co/PMD_0000571>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000563>
<http://purl.obolibrary.org/obo/UO_0000003>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/UO_0000000>
<https://w3id.org/pmd/co/PMD_0010006>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020096>
<http://purl.obolibrary.org/obo/CHEBI_33387>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0000543>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000603>
<https://w3id.org/pmd/co/PMD_0000941>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000849>
<https://w3id.org/pmd/co/PMD_0000103>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000833>
<https://w3id.org/pmd/co/PMD_0050071>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050062>
<https://w3id.org/pmd/co/PMD_0020162>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000008>
<https://w3id.org/pmd/co/PMD_0020238>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020213>
<https://w3id.org/pmd/co/PMD_0001039>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/COB_0000035>
<https://w3id.org/pmd/co/PMD_0090016>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000000>
<http://purl.obolibrary.org/obo/OBI_0302911>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/COB_0000035>
<https://w3id.org/pmd/co/PMD_0000001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000040>
<https://w3id.org/pmd/co/PMD_0000560>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000927>
<https://w3id.org/pmd/co/PMD_0050066>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050063>
<https://w3id.org/pmd/co/PMD_0000582>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0001023>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0000616>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000849>
<https://w3id.org/pmd/co/PMD_0050143>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000661>
<https://w3id.org/pmd/co/PMD_0050147>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050143>
<https://w3id.org/pmd/co/PMD_0000851>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020164>
<https://w3id.org/pmd/co/PMD_0000776>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000849>
<http://purl.obolibrary.org/obo/UO_1000076>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/UO_0000000>
<https://w3id.org/pmd/co/PMD_0000874>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000855>
<https://w3id.org/pmd/co/PMD_0000120>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000577>
<https://w3id.org/pmd/co/PMD_0020227>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000023>
<https://w3id.org/pmd/co/PMD_0000053>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid209
<https://w3id.org/pmd/co/PMD_0020174>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000030>
<http://purl.obolibrary.org/obo/CHEBI_33330>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<http://purl.obolibrary.org/obo/CHEBI_33381>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33319>
<https://w3id.org/pmd/co/PMD_0000902>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000899>
<http://purl.obolibrary.org/obo/BFO_0000006>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000141>
<https://w3id.org/pmd/co/PMD_0020084>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0010024>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000016>
<https://w3id.org/pmd/co/PMD_0000979>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000982>
<https://w3id.org/pmd/co/PMD_0020232>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020230>
<https://w3id.org/pmd/co/PMD_0000107>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000877>
<https://w3id.org/pmd/co/PMD_0000769>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000016>
<http://purl.obolibrary.org/obo/OBI_0001931>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0001933>
<https://w3id.org/pmd/co/PMD_0000963>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000557>
<http://purl.obolibrary.org/obo/CHEBI_31344>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_23367>
<https://w3id.org/pmd/co/PMD_0001020>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000602>
<https://w3id.org/pmd/co/PMD_0050145>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050144>
<http://purl.obolibrary.org/obo/CHEBI_49957>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_23367>
<https://w3id.org/pmd/co/PMD_0050011>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050009>
<https://w3id.org/pmd/co/PMD_0000988>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000550>
<https://w3id.org/pmd/co/PMD_0010017>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0010014>
<http://purl.obolibrary.org/obo/CHEBI_26216>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0010007>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000852>
<http://purl.obolibrary.org/obo/CHEBI_33323>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0025001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020131>
<http://purl.obolibrary.org/obo/CHEBI_53284>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33839>
<https://w3id.org/pmd/co/PMD_0020076>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0020066>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0000964>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000821>
<https://w3id.org/pmd/co/PMD_0020049>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0000823>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000927>
<https://w3id.org/pmd/co/PMD_0010101>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0090000>
<https://w3id.org/pmd/co/PMD_0000537>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000789>
<https://w3id.org/pmd/co/PMD_0020042>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<https://w3id.org/pmd/co/PMD_0025017>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050051>
<http://purl.obolibrary.org/obo/CHEBI_30452>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_137980>
<http://purl.obolibrary.org/obo/CHEBI_30145>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_33521>
<https://w3id.org/pmd/co/PMD_0020211>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020212>
<https://w3id.org/pmd/co/PMD_0020087>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020140>
<http://purl.obolibrary.org/obo/BFO_0000038>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000008>
<https://w3id.org/pmd/co/PMD_0000055>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000969>
<https://w3id.org/pmd/co/PMD_0000781>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000034>
<http://purl.obolibrary.org/obo/BFO_0000202>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000038>
<https://w3id.org/pmd/co/PMD_0000646>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0000833>
<https://w3id.org/pmd/co/PMD_0020131>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000019>
<https://w3id.org/pmd/co/PMD_0020133>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0020148>
<http://purl.obolibrary.org/obo/CHEBI_30415>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_25585>
<https://w3id.org/pmd/co/PMD_0050046>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://w3id.org/pmd/co/PMD_0050041>
<http://purl.obolibrary.org/obo/CHEBI_30513>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CHEBI_137980>
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/BFO_0000040>
